"filename", "language", "Groovy", "Properties", "XML", "Batch", "Java", "comment", "blank", "total"
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\NewRecipeActivity.java", "Java", 0, 0, 0, 0, 226, 12, 28, 266
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileAllergies.java", "Java", 0, 0, 0, 0, 53, 1, 12, 66
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMealPlans.java", "Java", 0, 0, 0, 0, 51, 1, 13, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMyDetails.java", "Java", 0, 0, 0, 0, 77, 1, 17, 95
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMyRecipes.java", "Java", 0, 0, 0, 0, 92, 1, 21, 114
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\add.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\allergy.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\back.xml", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\button_border.xml", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\choose_image.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\delete.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\edit.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\email.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite_outline.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite_red.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\home.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
